mask_path,split,weather,has_bicycle,bicycle_pixels,valid_pixels,total_pixels,bicycle_pixel_ratio_valid
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000060_mask.png,train,fog,True,73938,3145727,3145728,0.023504264673952953
dissertation/data/processed/iddaw_masks/train/LOWLIGHT/gtSeg/166/00000004_mask.png,train,lowlight,True,47486,3144028,3145728,0.015103555057397708
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000059_mask.png,train,fog,True,22940,3145598,3145728,0.0072927309846967095
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/64/00000004_mask.png,train,fog,True,11788,3145721,3145728,0.0037473126192691594
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000132_mask.png,train,fog,True,11777,3145728,3145728,0.0037438074747721353
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/83/00000001_mask.png,train,fog,True,11455,3145578,3145728,0.0036416200774547634
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000123_mask.png,train,fog,True,11398,3145151,3145728,0.0036239913441357824
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000106_mask.png,train,fog,True,11032,3145720,3145728,0.00350698727159442
dissertation/data/processed/iddaw_masks/train/RAIN/gtSeg/15/00000000_mask.png,train,rain,True,10320,3145728,3145728,0.0032806396484375
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000071_mask.png,train,fog,True,9359,3145718,3145728,0.0029751554335131123
dissertation/data/processed/iddaw_masks/train/RAIN/gtSeg/2/00000034_mask.png,train,rain,True,9047,3145728,3145728,0.0028759638468424478
dissertation/data/processed/iddaw_masks/train/LOWLIGHT/gtSeg/171/00000027_mask.png,train,lowlight,True,7441,3145728,3145728,0.0023654301961263022
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000057_mask.png,train,fog,True,7387,3143998,3145728,0.002349556202007762
dissertation/data/processed/iddaw_masks/train/LOWLIGHT/gtSeg/167/00000007_mask.png,train,lowlight,True,7320,3145728,3145728,0.00232696533203125
dissertation/data/processed/iddaw_masks/train/SNOW/gtSeg/184/00000086_mask.png,train,snow,True,7088,3145706,3145728,0.0022532302764466865
dissertation/data/processed/iddaw_masks/train/RAIN/gtSeg/27/00000070_mask.png,train,rain,True,6832,3145697,3145728,0.0021718557127402924
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000025_mask.png,train,fog,True,6704,3145728,3145728,0.0021311442057291665
dissertation/data/processed/iddaw_masks/train/RAIN/gtSeg/29/00000006_mask.png,train,rain,True,6665,3145728,3145728,0.0021187464396158853
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000117_mask.png,train,fog,True,6357,3145534,3145728,0.002020960510997497
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/85/00000012_mask.png,train,fog,True,6161,3145724,3145728,0.0019585316448614055
dissertation/data/processed/iddaw_masks/train/FOG/gtSeg/49/00000120_mask.png,train,fog,True,5662,3145492,3145728,0.001800036369509126
dissertation/data/processed/iddaw_masks/train/RAIN/gtSeg/43/00000051_mask.png,train,rain,True,5036,3145645,3145728,0.0016009435266853061
