mask_path,split,weather,has_bicycle,bicycle_pixels,valid_pixels,total_pixels,bicycle_pixel_ratio_valid
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000002_mask.png,val,fog,False,0,3145685,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000013_mask.png,val,fog,False,0,3145726,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000018_mask.png,val,fog,False,0,3145728,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000029_mask.png,val,fog,False,0,3141534,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000017_mask.png,val,fog,False,0,3145702,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000024_mask.png,val,fog,False,0,3143882,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000021_mask.png,val,fog,False,0,3145509,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000011_mask.png,val,fog,False,0,3145676,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000000_mask.png,val,fog,False,0,3145644,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000010_mask.png,val,fog,False,0,3145728,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000019_mask.png,val,fog,False,0,3145714,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000005_mask.png,val,fog,False,0,3145699,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000007_mask.png,val,fog,False,0,3145728,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000027_mask.png,val,fog,False,0,3145647,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000023_mask.png,val,fog,False,0,3145728,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000022_mask.png,val,fog,False,0,3145648,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000015_mask.png,val,fog,False,0,3145728,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000012_mask.png,val,fog,False,0,3140657,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000001_mask.png,val,fog,False,0,3145728,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000006_mask.png,val,fog,False,0,3145728,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000030_mask.png,val,fog,False,0,3145728,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000031_mask.png,val,fog,False,0,3145426,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000028_mask.png,val,fog,False,0,3145725,3145728,0.0
dissertation/data/processed/iddaw_masks/val/FOG/gtSeg/69/00000009_mask.png,val,fog,False,0,3145728,3145728,0.0
